rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Lowest_Niyama
2386.2,2628.7,100.88,93.31,1207.94,934.11,285.0,377330.0,988.0,15.0,16.0,0.0
2533.8,2628.7,100.88,93.31,1207.94,934.11,285.0,377330.0,858.0,10.0,11.0,0.0
2386.2,2791.3,100.88,93.31,1207.94,934.11,285.0,377330.0,858.0,10.0,11.0,0.0
2533.8,2791.3,100.88,93.31,1207.94,934.11,285.0,377330.0,988.0,15.0,16.0,0.0
2386.2,2628.7,107.12,93.31,1207.94,934.11,285.0,377330.0,858.0,10.0,16.0,0.0
2533.8,2628.7,107.12,93.31,1207.94,934.11,285.0,377330.0,988.0,15.0,11.0,0.0
2386.2,2791.3,107.12,93.31,1207.94,934.11,285.0,377330.0,988.0,15.0,11.0,0.0
2533.8,2791.3,107.12,93.31,1207.94,934.11,285.0,377330.0,858.0,10.0,16.0,0.0
2386.2,2628.7,100.88,99.08,1207.94,934.11,285.0,377330.0,858.0,15.0,11.0,0.0
2533.8,2628.7,100.88,99.08,1207.94,934.11,285.0,377330.0,988.0,10.0,16.0,0.0
2386.2,2791.3,100.88,99.08,1207.94,934.11,285.0,377330.0,988.0,10.0,16.0,0.0
2533.8,2791.3,100.88,99.08,1207.94,934.11,285.0,377330.0,858.0,15.0,11.0,0.0
2386.2,2628.7,107.12,99.08,1207.94,934.11,285.0,377330.0,988.0,10.0,11.0,0.0
2533.8,2628.7,107.12,99.08,1207.94,934.11,285.0,377330.0,858.0,15.0,16.0,0.0
2386.2,2791.3,107.12,99.08,1207.94,934.11,285.0,377330.0,858.0,15.0,16.0,0.0
2533.8,2791.3,107.12,99.08,1207.94,934.11,285.0,377330.0,988.0,10.0,11.0,0.0
2386.2,2628.7,100.88,93.31,1282.65,934.11,285.0,377330.0,988.0,10.0,11.0,0.0
2533.8,2628.7,100.88,93.31,1282.65,934.11,285.0,377330.0,858.0,15.0,16.0,0.0
2386.2,2791.3,100.88,93.31,1282.65,934.11,285.0,377330.0,858.0,15.0,16.0,0.0
2533.8,2791.3,100.88,93.31,1282.65,934.11,285.0,377330.0,988.0,10.0,11.0,0.0
2386.2,2628.7,107.12,93.31,1282.65,934.11,285.0,377330.0,858.0,15.0,11.0,0.0
2533.8,2628.7,107.12,93.31,1282.65,934.11,285.0,377330.0,988.0,10.0,16.0,0.0
2386.2,2791.3,107.12,93.31,1282.65,934.11,285.0,377330.0,988.0,10.0,16.0,0.0
2533.8,2791.3,107.12,93.31,1282.65,934.11,285.0,377330.0,858.0,15.0,11.0,0.0
2386.2,2628.7,100.88,99.08,1282.65,934.11,285.0,377330.0,858.0,10.0,16.0,0.0
2533.8,2628.7,100.88,99.08,1282.65,934.11,285.0,377330.0,988.0,15.0,11.0,0.0
2386.2,2791.3,100.88,99.08,1282.65,934.11,285.0,377330.0,988.0,15.0,11.0,0.0
2533.8,2791.3,100.88,99.08,1282.65,934.11,285.0,377330.0,858.0,10.0,16.0,0.0
2386.2,2628.7,107.12,99.08,1282.65,934.11,285.0,377330.0,988.0,15.0,16.0,0.0
2533.8,2628.7,107.12,99.08,1282.65,934.11,285.0,377330.0,858.0,10.0,11.0,0.0
2386.2,2791.3,107.12,99.08,1282.65,934.11,285.0,377330.0,858.0,10.0,11.0,0.0
2533.8,2791.3,107.12,99.08,1282.65,934.11,285.0,377330.0,988.0,15.0,16.0,0.0
2386.2,2628.7,100.88,93.31,1207.94,991.89,285.0,377330.0,988.0,15.0,16.0,0.0
2533.8,2628.7,100.88,93.31,1207.94,991.89,285.0,377330.0,858.0,10.0,11.0,0.0
2386.2,2791.3,100.88,93.31,1207.94,991.89,285.0,377330.0,858.0,10.0,11.0,0.0
2533.8,2791.3,100.88,93.31,1207.94,991.89,285.0,377330.0,988.0,15.0,16.0,0.0
2386.2,2628.7,107.12,93.31,1207.94,991.89,285.0,377330.0,858.0,10.0,16.0,0.0
2533.8,2628.7,107.12,93.31,1207.94,991.89,285.0,377330.0,988.0,15.0,11.0,0.0
2386.2,2791.3,107.12,93.31,1207.94,991.89,285.0,377330.0,988.0,15.0,11.0,0.0
2533.8,2791.3,107.12,93.31,1207.94,991.89,285.0,377330.0,858.0,10.0,16.0,0.0
2386.2,2628.7,100.88,99.08,1207.94,991.89,285.0,377330.0,858.0,15.0,11.0,0.0
2533.8,2628.7,100.88,99.08,1207.94,991.89,285.0,377330.0,988.0,10.0,16.0,0.0
