rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama
2386.2,2628.7,100.88,93.31,1207.94,934.11,285.0,400670.0,925.0,15.0,15.0,0.02,6.26
2533.8,2628.7,100.88,93.31,1207.94,934.11,285.0,377330.0,901.0,15.0,10.0,0.02,0.01
2386.2,2791.3,100.88,93.31,1207.94,934.11,285.0,400670.0,901.0,10.0,10.0,0.02,4.61
2533.8,2791.3,100.88,93.31,1207.94,934.11,285.0,377330.0,925.0,10.0,15.0,0.02,0.01
2386.2,2628.7,107.2,93.31,1207.94,934.11,285.0,377330.0,901.0,10.0,15.0,0.01,0.33
2533.8,2628.7,107.2,93.31,1207.94,934.11,285.0,400670.0,925.0,10.0,10.0,0.01,5.04
2386.2,2791.3,107.2,93.31,1207.94,934.11,285.0,377330.0,925.0,15.0,10.0,0.01,0.1
2533.8,2791.3,107.2,93.31,1207.94,934.11,285.0,400670.0,901.0,15.0,15.0,0.01,3.5
2386.2,2628.7,100.88,99.08,1207.94,934.11,285.0,377330.0,901.0,15.0,10.0,0.01,0.8
2533.8,2628.7,100.88,99.08,1207.94,934.11,285.0,400670.0,925.0,15.0,15.0,0.01,5.32
2386.2,2791.3,100.88,99.08,1207.94,934.11,285.0,377330.0,925.0,10.0,15.0,0.01,0.46
2533.8,2791.3,100.88,99.08,1207.94,934.11,285.0,400670.0,901.0,10.0,10.0,0.01,3.08
2386.2,2628.7,107.2,99.08,1207.94,934.11,285.0,400670.0,925.0,10.0,10.0,0.02,5.42
2533.8,2628.7,107.2,99.08,1207.94,934.11,285.0,377330.0,901.0,10.0,15.0,0.02,0.0
2386.2,2791.3,107.2,99.08,1207.94,934.11,285.0,400670.0,901.0,15.0,15.0,0.02,4.81
2533.8,2791.3,107.2,99.08,1207.94,934.11,285.0,377330.0,925.0,15.0,10.0,0.02,0.01
2386.2,2628.7,100.88,93.31,1282.65,934.11,285.0,400670.0,925.0,15.0,10.0,0.01,0.78
2533.8,2628.7,100.88,93.31,1282.65,934.11,285.0,377330.0,901.0,15.0,15.0,0.01,5.33
2386.2,2791.3,100.88,93.31,1282.65,934.11,285.0,400670.0,901.0,10.0,15.0,0.01,0.44
2533.8,2791.3,100.88,93.31,1282.65,934.11,285.0,377330.0,925.0,10.0,10.0,0.01,3.09
2386.2,2628.7,107.2,93.31,1282.65,934.11,285.0,377330.0,901.0,10.0,10.0,0.02,5.43
2533.8,2628.7,107.2,93.31,1282.65,934.11,285.0,400670.0,925.0,10.0,15.0,0.02,0.01
2386.2,2791.3,107.2,93.31,1282.65,934.11,285.0,377330.0,925.0,15.0,15.0,0.02,4.82
2533.8,2791.3,107.2,93.31,1282.65,934.11,285.0,400670.0,901.0,15.0,10.0,0.02,0.0
2386.2,2628.7,100.88,99.08,1282.65,934.11,285.0,377330.0,901.0,15.0,15.0,0.02,5.75
2533.8,2628.7,100.88,99.08,1282.65,934.11,285.0,400670.0,925.0,15.0,10.0,0.02,0.0
2386.2,2791.3,100.88,99.08,1282.65,934.11,285.0,377330.0,925.0,10.0,10.0,0.02,4.23
2533.8,2791.3,100.88,99.08,1282.65,934.11,285.0,400670.0,901.0,10.0,15.0,0.02,0.01
2386.2,2628.7,107.2,99.08,1282.65,934.11,285.0,400670.0,925.0,10.0,15.0,0.01,0.72
2533.8,2628.7,107.2,99.08,1282.65,934.11,285.0,377330.0,901.0,10.0,10.0,0.01,4.63
2386.2,2791.3,107.2,99.08,1282.65,934.11,285.0,400670.0,901.0,15.0,10.0,0.01,0.42
2533.8,2791.3,107.2,99.08,1282.65,934.11,285.0,377330.0,925.0,15.0,15.0,0.01,3.22
2386.2,2628.7,100.88,93.31,1207.94,991.89,285.0,400670.0,925.0,10.0,10.0,0.01,3.08
2533.8,2628.7,100.88,93.31,1207.94,991.89,285.0,377330.0,901.0,10.0,15.0,0.01,1.05
2386.2,2791.3,100.88,93.31,1207.94,991.89,285.0,400670.0,901.0,15.0,15.0,0.01,2.73
2533.8,2791.3,100.88,93.31,1207.94,991.89,285.0,377330.0,925.0,15.0,10.0,0.01,0.45
2386.2,2628.7,107.2,93.31,1207.94,991.89,285.0,377330.0,901.0,15.0,10.0,0.02,0.94
2533.8,2628.7,107.2,93.31,1207.94,991.89,285.0,400670.0,925.0,15.0,15.0,0.02,10.36
2386.2,2791.3,107.2,93.31,1207.94,991.89,285.0,377330.0,925.0,10.0,15.0,0.02,1.12
2533.8,2791.3,107.2,93.31,1207.94,991.89,285.0,400670.0,901.0,10.0,10.0,0.02,5.98
2386.2,2628.7,100.88,99.08,1207.94,991.89,285.0,377330.0,901.0,10.0,15.0,0.02,0.01
2533.8,2628.7,100.88,99.08,1207.94,991.89,285.0,400670.0,925.0,10.0,10.0,0.02,9.1
2386.2,2791.3,100.88,99.08,1207.94,991.89,285.0,377330.0,925.0,15.0,10.0,0.02,0.16
2533.8,2791.3,100.88,99.08,1207.94,991.89,285.0,400670.0,901.0,15.0,15.0,0.02,6.34
2386.2,2628.7,107.2,99.08,1207.94,991.89,285.0,400670.0,925.0,15.0,15.0,0.01,3.21
2533.8,2628.7,107.2,99.08,1207.94,991.89,285.0,377330.0,901.0,15.0,10.0,0.01,1.03
2386.2,2791.3,107.2,99.08,1207.94,991.89,285.0,400670.0,901.0,10.0,10.0,0.01,2.37
2533.8,2791.3,107.2,99.08,1207.94,991.89,285.0,377330.0,925.0,10.0,15.0,0.01,0.41
2386.2,2628.7,100.88,93.31,1282.65,991.89,285.0,400670.0,925.0,10.0,15.0,0.02,0.01
2533.8,2628.7,100.88,93.31,1282.65,991.89,285.0,377330.0,901.0,10.0,10.0,0.02,9.12
2386.2,2791.3,100.88,93.31,1282.65,991.89,285.0,400670.0,901.0,15.0,10.0,0.02,0.11
2533.8,2791.3,100.88,93.31,1282.65,991.89,285.0,377330.0,925.0,15.0,15.0,0.02,6.35
2386.2,2628.7,107.2,93.31,1282.65,991.89,285.0,377330.0,901.0,15.0,15.0,0.01,3.22
2533.8,2628.7,107.2,93.31,1282.65,991.89,285.0,400670.0,925.0,15.0,10.0,0.01,0.98
2386.2,2791.3,107.2,93.31,1282.65,991.89,285.0,377330.0,925.0,10.0,10.0,0.01,2.38
2533.8,2791.3,107.2,93.31,1282.65,991.89,285.0,400670.0,901.0,10.0,15.0,0.01,0.36
2386.2,2628.7,100.88,99.08,1282.65,991.89,285.0,377330.0,901.0,10.0,10.0,0.01,2.83
2533.8,2628.7,100.88,99.08,1282.65,991.89,285.0,400670.0,925.0,10.0,15.0,0.01,1.72
2386.2,2791.3,100.88,99.08,1282.65,991.89,285.0,377330.0,925.0,15.0,15.0,0.01,2.51
2533.8,2791.3,100.88,99.08,1282.65,991.89,285.0,400670.0,901.0,15.0,10.0,0.01,0.88
2386.2,2628.7,107.2,99.08,1282.65,991.89,285.0,400670.0,925.0,15.0,10.0,0.02,0.0
2533.8,2628.7,107.2,99.08,1282.65,991.89,285.0,377330.0,901.0,15.0,15.0,0.02,9.52
2386.2,2791.3,107.2,99.08,1282.65,991.89,285.0,400670.0,901.0,10.0,15.0,0.02,0.12
2533.8,2791.3,107.2,99.08,1282.65,991.89,285.0,377330.0,925.0,10.0,10.0,0.02,5.5
2386.2,2628.7,100.88,93.31,1207.94,934.11,298.0,377330.0,925.0,10.0,10.0,0.02,5.42
2533.8,2628.7,100.88,93.31,1207.94,934.11,298.0,400670.0,901.0,10.0,15.0,0.02,0.01
2386.2,2791.3,100.88,93.31,1207.94,934.11,298.0,377330.0,901.0,15.0,15.0,0.02,4.82
2533.8,2791.3,100.88,93.31,1207.94,934.11,298.0,400670.0,925.0,15.0,10.0,0.02,0.0
2386.2,2628.7,107.2,93.31,1207.94,934.11,298.0,400670.0,901.0,15.0,10.0,0.01,0.07
2533.8,2628.7,107.2,93.31,1207.94,934.11,298.0,377330.0,925.0,15.0,15.0,0.01,5.25
